,model,epsilon,attack,optim,dataset,iterations_type,epes
563,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,0,
567,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,0,
571,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,0,
1137,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,1,8.200299273133277
1141,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,1,5.434249081941434
1145,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,1,7.220103999608761
1711,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,2,10.581313160657883
1715,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,2,10.209874515689188
1719,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,2,12.539555398691856
2285,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,3,14.326768046617508
2289,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,3,17.039879105391122
2293,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,3,21.11821232290937
2859,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,4,18.433370141983037
2863,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,4,26.04924124736951
2867,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,4,33.250584273471155
3433,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,5,22.83409043073654
3437,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,5,41.69904496140714
3441,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,5,52.09287813234283
4007,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,6,27.58100029945373
4011,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,6,70.29655797886917
4015,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,6,76.23163238932145
4581,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,7,32.23575366020203
4585,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,7,94.40755277362496
4589,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,7,100.98875360186574
5155,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,8,37.069147572517394
5159,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,8,117.21923636313704
5163,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,8,121.62687344635827
5729,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,9,40.13466664791108
5733,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,9,123.387181874769
5737,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,9,135.63426259111372
6303,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,10,42.84265646934509
6307,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,10,122.92783608210992
6311,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,10,143.7637562001702
6877,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,11,46.09559491157532
6881,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,11,132.2209507380393
6885,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,11,146.01111199240864
7451,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,12,47.22534524798393
7455,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,12,135.38675694289284
7459,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,12,151.30662687058407
8025,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,13,48.33684850692749
8029,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,13,142.1963970688074
8033,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,13,163.15056640133048
8599,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,14,49.213744552135466
8603,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,14,144.17081476591963
8607,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,14,172.4846299642788
9173,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,15,53.457346358299255
9177,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,15,149.5944518662209
9181,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,15,166.87923443638053
9747,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,16,56.39798081874847
9751,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,16,149.62167591280254
9755,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,16,172.71926270129015
10321,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,17,57.6232850599289
10325,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,17,157.35486787557602
10329,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,17,171.9568059634521
10895,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,18,61.73610885620117
10899,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,18,160.1139955676942
10903,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,18,178.40371046120106
11469,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,19,59.083941895961765
11473,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,19,170.1176767675036
11477,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,19,188.09155904685616
12043,videoflow_bof,0.0314,cospgd,ground_truth,kitti-2015,20,63.58852642059326
12047,videoflow_bof,0.0314,cospgd,ground_truth,sintel-clean,20,169.81209161285022
12051,videoflow_bof,0.0314,cospgd,ground_truth,sintel-final,20,185.86300789428145
